filename,station,month,day,year,time,type
burst-AUSTRIA-UNIGRAZ-01-08-2023-091617.npy,AUSTRIA-UNIGRAZ,01,08,2023,091617,3
burst-AUSTRIA-UNIGRAZ-01-08-2023-091847.npy,AUSTRIA-UNIGRAZ,01,08,2023,091847,3
burst-AUSTRIA-UNIGRAZ-01-08-2023-115130.npy,AUSTRIA-UNIGRAZ,01,08,2023,115130,3
burst-AUSTRIA-UNIGRAZ-01-08-2023-115400.npy,AUSTRIA-UNIGRAZ,01,08,2023,115400,3
burst-AUSTRIA-UNIGRAZ-01-08-2023-115737.npy,AUSTRIA-UNIGRAZ,01,08,2023,115737,3
burst-AUSTRIA-UNIGRAZ-01-08-2023-124500.npy,AUSTRIA-UNIGRAZ,01,08,2023,124500,3
burst-AUSTRIA-UNIGRAZ-01-08-2023-124730.npy,AUSTRIA-UNIGRAZ,01,08,2023,124730,3
burst-INDIA-GAURI-01-16-2023-111014.npy,INDIA-GAURI,01,16,2023,111014,3
burst-INDIA-GAURI-01-16-2023-111244.npy,INDIA-GAURI,01,16,2023,111244,3
burst-NORWAY-EGERSUND-02-09-2023-121222.npy,NORWAY-EGERSUND,02,09,2023,121222,3
burst-NORWAY-EGERSUND-02-09-2023-121452.npy,NORWAY-EGERSUND,02,09,2023,121452,3
burst-NORWAY-EGERSUND-02-09-2023-132739.npy,NORWAY-EGERSUND,02,09,2023,132739,3
burst-USA-ARIZONA-ERAU-03-22-2023-212402.npy,USA-ARIZONA-ERAU,03,22,2023,212402,3
burst-USA-ARIZONA-ERAU-03-22-2023-212632.npy,USA-ARIZONA-ERAU,03,22,2023,212632,3
burst-INDIA-GAURI-04-28-2023-031004.npy,INDIA-GAURI,04,28,2023,031004,3
burst-INDIA-GAURI-04-28-2023-053308.npy,INDIA-GAURI,04,28,2023,053308,6
burst-INDIA-GAURI-04-28-2023-053538.npy,INDIA-GAURI,04,28,2023,053538,6
burst-NORWAY-EGERSUND-04-17-2023-062329.npy,NORWAY-EGERSUND,04,17,2023,062329,3
burst-NORWAY-EGERSUND-04-17-2023-062559.npy,NORWAY-EGERSUND,04,17,2023,062559,3
burst-NORWAY-EGERSUND-04-17-2023-062829.npy,NORWAY-EGERSUND,04,17,2023,062829,2
burst-NORWAY-EGERSUND-04-17-2023-063059.npy,NORWAY-EGERSUND,04,17,2023,063059,2
burst-NORWAY-EGERSUND-04-17-2023-142815.npy,NORWAY-EGERSUND,04,17,2023,142815,3
burst-NORWAY-EGERSUND-04-17-2023-143045.npy,NORWAY-EGERSUND,04,17,2023,143045,3
burst-SSRT-05-05-2023-080329.npy,SSRT,05,05,2023,080329,4
burst-SSRT-05-05-2023-080559.npy,SSRT,05,05,2023,080559,4
burst-SSRT-05-05-2023-080829.npy,SSRT,05,05,2023,080829,4
burst-SSRT-05-05-2023-081059.npy,SSRT,05,05,2023,081059,4
burst-SSRT-05-05-2023-090744.npy,SSRT,05,05,2023,090744,4
burst-SSRT-05-05-2023-091014.npy,SSRT,05,05,2023,091014,4
burst-USA-ARIZONA-ERAU-05-01-2023-125632.npy,USA-ARIZONA-ERAU,05,01,2023,125632,3
burst-USA-ARIZONA-ERAU-05-01-2023-133911.npy,USA-ARIZONA-ERAU,05,01,2023,133911,3
burst-USA-ARIZONA-ERAU-05-01-2023-142208.npy,USA-ARIZONA-ERAU,05,01,2023,142208,3
burst-USA-ARIZONA-ERAU-05-01-2023-142438.npy,USA-ARIZONA-ERAU,05,01,2023,142438,3
burst-USA-ARIZONA-ERAU-05-01-2023-211613.npy,USA-ARIZONA-ERAU,05,01,2023,211613,3
burst-USA-ARIZONA-ERAU-05-01-2023-221402.npy,USA-ARIZONA-ERAU,05,01,2023,221402,3
burst-BIR-06-04-2023-103151.npy,BIR,06,04,2023,103151,3
burst-BIR-06-04-2023-110816.npy,BIR,06,04,2023,110816,3
burst-BIR-06-04-2023-111046.npy,BIR,06,04,2023,111046,3
burst-USA-ARIZONA-ERAU-06-05-2023-182701.npy,USA-ARIZONA-ERAU,06,05,2023,182701,3
burst-USA-ARIZONA-ERAU-06-05-2023-182931.npy,USA-ARIZONA-ERAU,06,05,2023,182931,3
burst-USA-ARIZONA-ERAU-06-05-2023-222849.npy,USA-ARIZONA-ERAU,06,05,2023,222849,3
burst-NORWAY-EGERSUND-06-21-2023-093852.npy,NORWAY-EGERSUND,06,21,2023,093852,3
burst-NORWAY-EGERSUND-06-21-2023-094122.npy,NORWAY-EGERSUND,06,21,2023,094122,3
burst-NORWAY-EGERSUND-06-21-2023-125105.npy,NORWAY-EGERSUND,06,21,2023,125105,3
burst-NORWAY-EGERSUND-06-21-2023-153205.npy,NORWAY-EGERSUND,06,21,2023,153205,3
burst-NORWAY-EGERSUND-06-21-2023-153435.npy,NORWAY-EGERSUND,06,21,2023,153435,3
burst-NORWAY-EGERSUND-07-05-2023-122225.npy,NORWAY-EGERSUND,07,05,2023,122225,3
burst-BIR-07-15-2023-100423.npy,BIR,07,15,2023,100423,3
burst-BIR-07-15-2023-100653.npy,BIR,07,15,2023,100653,3
burst-INDIA-GAURI-07-07-2023-044103.npy,INDIA-GAURI,07,07,2023,044103,3
burst-INDIA-GAURI-07-07-2023-052513.npy,INDIA-GAURI,07,07,2023,052513,3
burst-BIR-08-05-2023-131410.npy,BIR,08,05,2023,131410,3
burst-BIR-08-05-2023-131640.npy,BIR,08,05,2023,131640,3
burst-BIR-08-05-2023-134343.npy,BIR,08,05,2023,134343,3
burst-BIR-08-05-2023-134613.npy,BIR,08,05,2023,134613,3
burst-BIR-08-05-2023-143830.npy,BIR,08,05,2023,143830,3
burst-NORWAY-EGERSUND-08-06-2023-115526.npy,NORWAY-EGERSUND,08,06,2023,115526,3
burst-USA-ARIZONA-ERAU-08-19-2023-154355.npy,USA-ARIZONA-ERAU,08,19,2023,154355,3
burst-USA-ARIZONA-ERAU-08-19-2023-192717.npy,USA-ARIZONA-ERAU,08,19,2023,192717,3
burst-USA-ARIZONA-ERAU-08-19-2023-192947.npy,USA-ARIZONA-ERAU,08,19,2023,192947,3
burst-USA-ARIZONA-ERAU-08-19-2023-214136.npy,USA-ARIZONA-ERAU,08,19,2023,214136,3
burst-USA-ARIZONA-ERAU-08-19-2023-214406.npy,USA-ARIZONA-ERAU,08,19,2023,214406,3
burst-USA-ARIZONA-ERAU-08-19-2023-224632.npy,USA-ARIZONA-ERAU,08,19,2023,224632,3
burst-USA-ARIZONA-ERAU-08-19-2023-224902.npy,USA-ARIZONA-ERAU,08,19,2023,224902,3
burst-INDIA-GAURI-08-23-2023-023950.npy,INDIA-GAURI,08,23,2023,023950,3
burst-INDIA-GAURI-08-23-2023-052635.npy,INDIA-GAURI,08,23,2023,052635,3
burst-INDIA-GAURI-08-23-2023-065937.npy,INDIA-GAURI,08,23,2023,065937,3
burst-BIR-09-13-2023-111050.npy,BIR,09,13,2023,111050,3
burst-BIR-09-13-2023-111320.npy,BIR,09,13,2023,111320,3
burst-INDIA-GAURI-09-09-2023-045435.npy,INDIA-GAURI,09,09,2023,045435,3
burst-INDIA-GAURI-09-09-2023-093956.npy,INDIA-GAURI,09,09,2023,093956,6
burst-USA-ARIZONA-ERAU-09-08-2023-211942.npy,USA-ARIZONA-ERAU,09,08,2023,211942,6
burst-USA-ARIZONA-ERAU-09-08-2023-212501.npy,USA-ARIZONA-ERAU,09,08,2023,212501,6
burst-USA-ARIZONA-ERAU-09-08-2023-213002.npy,USA-ARIZONA-ERAU,09,08,2023,213002,6
burst-USA-ARIZONA-ERAU-09-08-2023-213232.npy,USA-ARIZONA-ERAU,09,08,2023,213232,6
burst-INDIA-GAURI-10-19-2023-023735.npy,INDIA-GAURI,10,19,2023,023735,3
burst-BIR-11-26-2023-121059.npy,BIR,11,26,2023,121059,3
burst-BIR-11-26-2023-121329.npy,BIR,11,26,2023,121329,3
burst-BIR-12-26-2023-094429.npy,BIR,12,26,2023,094429,3
burst-BIR-12-26-2023-094659.npy,BIR,12,26,2023,094659,3
burst-USA-ARIZONA-ERAU-11-23-2023-203424.npy,USA-ARIZONA-ERAU,11,23,2023,203424,3
burst-USA-ARIZONA-ERAU-11-23-2023-205632.npy,USA-ARIZONA-ERAU,11,23,2023,205632,3
burst-USA-ARIZONA-ERAU-11-23-2023-205902.npy,USA-ARIZONA-ERAU,11,23,2023,205902,3
burst-USA-ARIZONA-ERAU-11-23-2023-210132.npy,USA-ARIZONA-ERAU,11,23,2023,210132,3
burst-USA-ARIZONA-ERAU-12-20-2023-182650.npy,USA-ARIZONA-ERAU,12,20,2023,182650,3
burst-USA-ARIZONA-ERAU-12-20-2023-182920.npy,USA-ARIZONA-ERAU,12,20,2023,182920,3
burst-USA-ARIZONA-ERAU-12-20-2023-185701.npy,USA-ARIZONA-ERAU,12,20,2023,185701,6
burst-USA-ARIZONA-ERAU-12-20-2023-185931.npy,USA-ARIZONA-ERAU,12,20,2023,185931,6
burst-USA-ARIZONA-ERAU-12-20-2023-191036.npy,USA-ARIZONA-ERAU,12,20,2023,191036,6
burst-USA-ARIZONA-ERAU-12-20-2023-191306.npy,USA-ARIZONA-ERAU,12,20,2023,191306,6
burst-USA-ARIZONA-ERAU-12-20-2023-201246.npy,USA-ARIZONA-ERAU,12,20,2023,201246,3
burst-USA-ARIZONA-ERAU-12-20-2023-205659.npy,USA-ARIZONA-ERAU,12,20,2023,205659,3
burst-USA-ARIZONA-ERAU-12-20-2023-205929.npy,USA-ARIZONA-ERAU,12,20,2023,205929,3
burst-USA-ARIZONA-ERAU-12-20-2023-210159.npy,USA-ARIZONA-ERAU,12,20,2023,210159,3
burst-NORWAY-EGERSUND-12-01-2023-115302.npy,NORWAY-EGERSUND,12,01,2023,115302,3
burst-ALASKA-ANCHORAGE-02-10-2024-230534.npy,ALASKA-ANCHORAGE,02,10,2024,230534,3
burst-ALASKA-ANCHORAGE-02-10-2024-230804.npy,ALASKA-ANCHORAGE,02,10,2024,230804,3
